params,total_cycles,total_cost
3 1 0 0 1 2 3 1 0 0,1509225.0,17491.814243437188
3 3 0 3 0 2 2 0 1 0,604153.125,27016.64900891717
0 0 0 0 0 2 3 1 0 0,26375520.0,4018.9475108610754
0 2 0 2 3 2 2 0 0 0,1557800.0,17360.018919801696
1 0 1 1 2 1 2 0 0 0,3528005.0,9037.701911564724
1 2 2 0 1 1 2 1 1 0,4220662.5,10789.231105353534
2 0 2 3 0 0 2 0 2 0,2292866.5625,16951.484973072977
2 2 3 1 3 0 1 1 2 0,2841307.5,33227.08297396993
3 1 0 0 1 2 3 1 1 0,2961382.5,17491.814243437188
3 3 0 3 0 2 2 0 2 0,735727.5,27016.64900891717
0 0 0 0 0 2 3 1 1 0,40767345.0,4018.9475108610754
0 2 0 2 3 2 2 0 1 0,2546330.625,17360.018919801696
1 0 1 1 2 1 2 0 1 0,5875695.0,9037.701911564724
1 2 2 0 1 1 2 1 2 0,7489912.8125,10789.231105353534
2 0 2 3 0 0 2 1 0 0,879705.0,16951.484973072977
2 2 3 1 3 0 2 0 0 0,777410.0,41291.08297396993
3 1 0 0 1 2 3 1 2 0,6270166.25,17491.814243437188
3 3 0 3 0 2 2 1 0 0,392315.0,27016.64900891717
0 0 0 0 1 0 0 0 0 0,20455080.0,1069.5299777107764
0 2 0 2 3 2 2 1 0 0,1557800.0,17360.018919801696
1 0 1 1 2 1 2 0 2 0,12125135.0,9037.701911564724
1 2 2 0 1 1 3 1 0 0,2665740.0,16933.231105353534
2 0 2 3 0 0 2 1 1 0,1370823.75,16951.484973072977
2 2 3 1 3 0 2 0 1 0,1270794.375,41291.08297396993
3 1 0 0 2 0 0 0 0 0,1802760.0,7335.357622059673
3 3 0 3 0 2 2 1 1 0,604153.125,27016.64900891717
0 0 0 0 1 0 0 0 1 0,34269845.625,1069.5299777107764
0 2 0 2 3 2 2 1 1 0,2546330.625,17360.018919801696
1 0 1 1 2 1 2 1 0 0,3526325.0,9037.701911564724
